epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,22.7487,0.54052,0.98889,1,0.05408,0.000469328,0.000469328,0.000469328
2,42.7905,0.07531,0.98519,1,0.0747,0.000926938,0.000926938,0.000926938
3,63.6695,0.0881,0.98148,1,0.06694,0.00136568,0.00136568,0.00136568
4,83.5453,0.12407,0.9963,1,0.02453,0.00134412,0.00134412,0.00134412
5,103.318,0.12076,0.99259,1,0.03576,0.00131582,0.00131582,0.00131582
6,124.356,0.09088,0.9963,1,0.02354,0.00128753,0.00128753,0.00128753
7,143.788,0.06365,0.9963,1,0.03174,0.00125923,0.00125923,0.00125923
8,165.295,0.08085,0.9963,1,0.01672,0.00123094,0.00123094,0.00123094
9,184.272,0.04666,1,1,0.00667,0.00120265,0.00120265,0.00120265
10,204.21,0.04758,1,1,0.00723,0.00117435,0.00117435,0.00117435
11,225.035,0.03678,1,1,0.00822,0.00114606,0.00114606,0.00114606
12,244.546,0.01564,0.9963,1,0.00449,0.00111776,0.00111776,0.00111776
13,265.753,0.02538,0.99259,1,0.01359,0.00108947,0.00108947,0.00108947
14,285.256,0.0136,0.9963,1,0.00517,0.00106118,0.00106118,0.00106118
15,304.712,0.0176,0.99259,1,0.01785,0.00103288,0.00103288,0.00103288
16,325.574,0.03644,1,1,0.0051,0.00100459,0.00100459,0.00100459
17,345.401,0.02161,1,1,0.00249,0.000976293,0.000976293,0.000976293
18,366.43,0.0248,1,1,0.00222,0.000947999,0.000947999,0.000947999
19,386.433,0.01917,1,1,0.00148,0.000919704,0.000919704,0.000919704
20,406.772,0.01466,0.9963,1,0.01018,0.00089141,0.00089141,0.00089141
21,427.239,0.01087,1,1,0.00124,0.000863116,0.000863116,0.000863116
22,446.695,0.01067,1,1,0.00095,0.000834822,0.000834822,0.000834822
23,468.088,0.01369,1,1,0.00055,0.000806528,0.000806528,0.000806528
24,487.515,0.00896,1,1,0.0004,0.000778233,0.000778233,0.000778233
25,508.634,0.00741,1,1,0.00053,0.000749939,0.000749939,0.000749939
26,528.207,0.00348,1,1,0.00018,0.000721645,0.000721645,0.000721645
27,548.062,0.00492,1,1,0.00029,0.000693351,0.000693351,0.000693351
28,568.798,0.00727,0.99259,1,0.01101,0.000665057,0.000665057,0.000665057
29,588.479,0.00995,1,1,0.00211,0.000636762,0.000636762,0.000636762
30,609.39,0.01676,1,1,0.0004,0.000608468,0.000608468,0.000608468
31,628.963,0.00794,1,1,0.0018,0.000580174,0.000580174,0.000580174
32,649.336,0.01644,1,1,0.00256,0.00055188,0.00055188,0.00055188
33,669.917,0.00893,0.9963,1,0.00473,0.000523586,0.000523586,0.000523586
34,689.511,0.0103,1,1,0.00307,0.000495291,0.000495291,0.000495291
35,710.527,0.00536,1,1,0.00021,0.000466997,0.000466997,0.000466997
36,730.317,0.00264,1,1,0.00021,0.000438703,0.000438703,0.000438703
37,751.092,0.00375,1,1,0.00012,0.000410409,0.000410409,0.000410409
38,771.417,0.00352,1,1,0.00072,0.000382115,0.000382115,0.000382115
39,791.019,0.00335,1,1,0.00012,0.00035382,0.00035382,0.00035382
40,811.994,0.00314,1,1,4e-05,0.000325526,0.000325526,0.000325526
41,832.665,0.00231,1,1,4e-05,0.000297232,0.000297232,0.000297232
42,853.956,0.01034,1,1,0.00017,0.000268938,0.000268938,0.000268938
43,873.684,0.00359,1,1,0.00059,0.000240644,0.000240644,0.000240644
44,894.193,0.00485,1,1,0.0003,0.000212349,0.000212349,0.000212349
45,914.511,0.00211,1,1,0.00029,0.000184055,0.000184055,0.000184055
46,933.994,0.00291,1,1,0.00032,0.000155761,0.000155761,0.000155761
47,955.105,0.0023,1,1,0.00053,0.000127467,0.000127467,0.000127467
48,974.7,0.00253,1,1,0.00023,9.91726e-05,9.91726e-05,9.91726e-05
49,995.919,0.00043,1,1,0.00017,7.08784e-05,7.08784e-05,7.08784e-05
50,1015.6,0.00109,1,1,0.00014,4.25842e-05,4.25842e-05,4.25842e-05
